trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99875026039496628}",25,8,-85.42764366589206,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.99500416527802582}",20,0,-90.49642031526147,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.98877107793604224}",25,0,-109.84754182370898,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98006657784124163}",25,0,-157.39650078426345,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.96891242171064473}",20,0,-27.119983469817615,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.95533648912560598}",25,0,-65.90573726565152,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.93937271284737889}",30,18,-39.16885403800121,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9210609940028851}",35,0,-106.05769457970429,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.90044710235267689}",25,0,-86.3298623833876,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.87758256189037276}",25,0,-15.395482692196039,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.85252452205950568}",20,13,-22.21792121798702,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.82533561490967822}",30,0,-161.14431166685682,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.79608379854905575}",30,1,-152.79668788032276,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.76484218728448838}",20,0,-50.13972287609016,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,12,1.4982701441627704,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.69670670934716539}",20,10,4.1393412363642215,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.65998314588498208}",35,14,-5.14859949981499,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.62160996827066439}",25,0,-82.57587449193515,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.58168308946388347}",20,0,-36.815757074386894,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.54030230586813965}",20,11,-23.924870407991534,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.49757104789172696}",25,0,-6.1790600146475585,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.45359612142557731}",20,0,5.533804810995857,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.40848744088415717}",20,0,20.570518980964728,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.3623577544766734}",20,13,1.899658745671978,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.31532236239526867}",20,0,-32.55692027242523,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.26749882862458735}",30,3,-48.05219881691902,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.2190066870930415}",25,3,-31.601214517766337,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.16996714290024081}",30,13,-31.735062755506565,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.1205027693673664}",25,18,7.8560756353028625,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.070737201667702906}",25,13,19.20693328012408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.020794827803092428}",30,14,30.83379075502106,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,18.839519635341897,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,11.176441149536315,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,8,40.509761578399754,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,28.521654441319534,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,7,34.06368440207215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,6.375823319844653,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,8.786593067991378,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,7,37.441923695195804,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,26.826540555761856,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,24.784062834654605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,13,23.017654783240573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,14,22.186658558137914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,10,20.323420010793757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,14,13.363252631964098,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
