trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.49401442186925,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.88805936256322,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.025602131985366,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.7175044253093,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-231.34818822335342,"{0: 18, 1: 3, 2: 2, 3: 3, 4: 4}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.29926864416983,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.53103292716253,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,2,-62.463259643555766,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,6,-41.221408867701555,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.71157845681876,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,5,-40.2504421709247,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.24755330222183,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.60908116463295,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.49037228484428,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.28032251349208,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,10,-71.07174808492215,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.1907315852962,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.95494411429989,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.00102612513058,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.60622589740302,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.11833841449231,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.40222992854623,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-182.35457320157855,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.88436798207243,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.6284551620468,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.87362157609313,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.2492056520584,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-31.556599164654905,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.59451386822596,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-171.20270280781892,"{0: 17, 1: 4, 2: 3, 3: 5, 4: 1}",0
